num_of_files,total_lines,mod_lines,label,insertions,deletions
3,84,56,non-bug,47,9
3,84,56,None,47,9
5,76,128,None,128,0
5,76,128,None,128,0
1,0,31,None,31,0
4,120,302,None,302,0
4,120,302,None,302,0
1,0,31,None,31,0
1,0,13,None,11,2
1,0,34,None,33,1
1,0,77,None,77,0
18,195,451,None,210,241
18,195,451,non-bug,210,241
15,228,2128,non-bug,1226,181
15,228,2128,non-bug,1226,181
19,742,3707,None,679,1
19,742,3707,None,679,1
14,1084,3766,non-bug,94,15
1,0,19,non-bug,0,0
13,1084,3747,non-bug,94,15
15,112,2247,None,58,9
15,112,2247,None,58,9
2,0,1414,None,0,0
2,0,1414,None,0,0
11,88,1375,None,87,36
11,88,1375,None,87,36
16,705,1238,None,237,45
16,705,1238,non-bug,237,45
9,2429,943,None,21,36
5,2429,51,None,7,2
6,2424,898,None,16,36
7,236,1185,non-bug,96,91
7,236,1185,non-bug,96,91
12,249,1918,non-bug,13,8
12,249,1918,non-bug,13,8
4,408,1299,non-bug,114,73
4,408,1299,non-bug,114,73
13,246,939,non-bug,17,11
13,246,939,non-bug,17,11
3,175,806,non-bug,1,0
3,175,806,non-bug,1,0
5,282,798,non-bug,21,7
5,282,798,non-bug,21,7
8,111,1465,None,146,16
8,111,1465,non-bug,146,16
6,142,1181,None,4,3
6,142,1181,None,4,3
15,198,837,non-bug,71,28
15,198,837,non-bug,71,28
7,70,1100,non-bug,37,17
7,70,1100,non-bug,37,17
7,125,477,non-bug,16,14
7,125,477,non-bug,16,14
6,336,832,None,26,6
6,336,832,non-bug,26,6
11,391,814,non-bug,46,25
3,0,417,None,0,0
3,0,417,None,0,0
5,34,1581,non-bug,80,27
5,34,1581,non-bug,80,27
19,93,3164,None,258,15
19,93,3164,non-bug,258,15
6,114,541,None,4,6
6,114,541,None,4,6
3,0,277,None,0,0
3,0,277,None,0,0
6,123,511,None,76,22
6,123,511,None,76,22
2,0,904,None,0,0
2,0,904,None,0,0
4,242,480,non-bug,50,38
4,242,480,non-bug,50,38
4,194,888,None,47,7
4,194,888,None,47,7
9,125,1188,None,1161,0
9,125,1188,None,1161,0
12,191,804,None,498,12
8,52,103,non-bug,2,10
5,191,701,None,496,2
8,705,1077,None,61,24
8,705,1077,None,61,24
7,149,590,non-bug,117,25
7,149,590,non-bug,117,25
5,390,581,None,51,17
5,390,581,None,51,17
6,51,821,non-bug,43,17
6,51,821,non-bug,43,17
5,123,608,non-bug,13,8
5,123,608,non-bug,13,8
7,351,912,non-bug,25,19
7,351,912,non-bug,25,19
7,133,716,None,16,15
7,133,716,non-bug,16,15
7,335,714,None,3,4
7,335,714,None,3,4
4,207,59,non-bug,26,33
1,387,3,None,2,1
1,197,1,None,1,0
5,239,333,None,89,33
5,239,333,None,89,33
1,0,514,None,0,0
1,0,514,None,0,0
7,2361,305,None,22,2
7,2361,305,None,22,2
16,705,1211,non-bug,121,71
3,125,28,non-bug,1,1
13,705,1183,non-bug,120,70
7,697,282,None,7,7
7,697,282,None,7,7
4,42,208,None,1,1
4,42,208,None,1,1
2,0,172,None,75,0
2,0,172,None,75,0
2,2337,245,None,76,8
2,2337,245,None,76,8
4,381,292,non-bug,30,12
4,381,292,non-bug,30,12
3,697,46,non-bug,13,2
1,0,15,None,0,0
3,697,33,non-bug,13,2
14,697,984,non-bug,227,78
14,697,984,non-bug,227,78
2,418,124,None,118,6
2,418,124,non-bug,118,6
9,158,494,None,494,0
9,158,494,None,494,0
2,96,62,None,55,7
1,192,2,None,1,1
1,2257,3,None,3,0
2,192,224,None,224,0
2,192,224,None,224,0
1,316,2,None,1,1
1,316,199,non-bug,128,71
1,316,199,non-bug,128,71
1,200,200,None,200,0
1,200,200,None,200,0
4,1017,30,None,30,0
4,1017,30,None,30,0
4,353,1124,None,1124,0
4,353,1124,bug,1124,0
2,1010,396,non-bug,279,117
2,1010,396,non-bug,279,117
3,471,479,None,474,5
3,471,479,None,474,5
1,259,246,None,204,42
1,259,246,None,204,42
1,834,834,None,834,0
1,834,834,None,834,0
8,222,3726,non-bug,2387,1339
8,222,3726,non-bug,2387,1339
4,197,440,non-bug,363,77
4,197,440,non-bug,363,77
5,697,469,non-bug,348,0
5,697,469,non-bug,348,0
3,151,366,None,366,0
3,151,366,None,366,0
5,250,984,None,973,11
5,250,984,bug,973,11
3,310,271,None,270,1
3,310,271,bug,270,1
9,167,1187,non-bug,1054,133
9,167,1187,non-bug,1054,133
3,636,990,None,990,0
3,636,990,bug,990,0
